Station	Year	Month	Day	Hour	Minute	Precipitation	
rg_1	2000	01	01	19	54	0.134000
rg_1	2000	01	01	20	00	0.131000
rg_1	2000	01	01	20	06	0.130000
rg_1	2000	01	01	20	12	0.129000
rg_1	2000	01	01	20	18	0.129000
rg_1	2000	01	01	20	24	0.128000
rg_1	2000	01	01	20	30	0.128000
rg_1	2000	01	01	20	36	0.127000
rg_1	2000	01	01	20	42	0.127000
rg_1	2000	01	01	20	48	0.126000
rg_1	2000	01	01	20	54	0.126000
rg_1	2000	01	01	21	00	0.125000
rg_1	2000	01	01	21	06	0.125000
rg_1	2000	01	01	21	12	0.124000
rg_1	2000	01	01	21	18	0.124000
rg_1	2000	01	01	21	24	0.123000
rg_1	2000	01	01	21	30	0.123000
rg_1	2000	01	01	21	36	0.122000
rg_1	2000	01	01	21	42	0.122000
rg_1	2000	01	01	21	48	0.121000
rg_1	2000	01	01	21	54	0.121000
rg_1	2000	01	01	22	00	0.120000
rg_1	2000	01	01	22	06	0.120000
rg_1	2000	01	01	22	12	0.119000
rg_1	2000	01	01	22	18	0.119000
rg_1	2000	01	01	22	24	0.118000
rg_1	2000	01	01	22	30	0.118000
rg_1	2000	01	01	22	36	0.117000
rg_1	2000	01	01	22	42	0.117000
rg_1	2000	01	01	22	48	0.116000
rg_1	2000	01	01	22	54	0.116000
rg_1	2000	01	01	23	00	0.115000
rg_1	2000	01	01	23	06	0.115000
rg_1	2000	01	01	23	12	0.114000
rg_1	2000	01	01	23	18	0.114000
rg_1	2000	01	01	23	24	0.113000
rg_1	2000	01	01	23	30	0.113000
rg_1	2000	01	01	23	36	0.112000
rg_1	2000	01	01	23	42	0.112000
rg_1	2000	01	01	23	48	0.111000
rg_1	2000	01	01	23	54	0.111000
rg_1	2000	01	02	00	00	0.110000
